RUN	perf.TestSimulation	testsimulation	1676394243974	 	3.0.3
REQUEST	13	login	/cgi-bin/login.pl	1676394361072	1676394361164	OK	 
GROUP	13	login	1676394360877	1676394361164	285	OK
REQUEST	13	buyTicket	/cgi-bin/welcome.pl	1676394361165	1676394361250	OK	 
REQUEST	13	buyTicket	/cgi-bin/nav.pl	1676394361250	1676394361339	OK	 
REQUEST	13	buyTicket	/cgi-bin/reservations.pl	1676394361340	1676394361477	OK	 
REQUEST	13	buyTicket	/cgi-bin/reservations.pl	1676394361478	1676394361587	OK	 
REQUEST	13	buyTicket	/cgi-bin/reservations.pl	1676394361588	1676394361698	OK	 
REQUEST	13	buyTicket	/cgi-bin/reservations.pl	1676394361699	1676394361800	OK	 
GROUP	13	buyTicket	1676394361164	1676394361800	631	OK
REQUEST	13	itinerary	/cgi-bin/welcome.pl	1676394361800	1676394361907	OK	 
REQUEST	13	itinerary	/cgi-bin/nav.pl	1676394361907	1676394362007	OK	 
REQUEST	13	itinerary	/cgi-bin/itinerary.pl	1676394362008	1676394362223	OK	 
GROUP	13	itinerary	1676394361800	1676394362226	422	OK
REQUEST	13	signOff	/cgi-bin/welcome.pl	1676394362227	1676394362311	OK	 
REQUEST	13	signOff	/cgi-bin/nav.pl	1676394362311	1676394362421	OK	 
REQUEST	13	signOff	/WebTours/home.html	1676394362422	1676394362468	OK	 
GROUP	13	signOff	1676394362226	1676394362469	240	OK
USER	mainScenario	13	END	1676394360682	1676394362469
USER	mainScenario	14	START	1676394364682	1676394364682
REQUEST	14	open	/webtours/	1676394364682	1676394364713	OK	 
REQUEST	14	open	/cgi-bin/welcome.pl	1676394364714	1676394364779	OK	 
REQUEST	14	open	/cgi-bin/nav.pl	1676394364780	1676394364881	OK	 
GROUP	14	open	1676394364682	1676394364881	197	OK
REQUEST	14	login	/cgi-bin/login.pl	1676394364882	1676394364990	OK	 
REQUEST	14	login	/cgi-bin/nav.pl	1676394364991	1676394365096	OK	 
REQUEST	14	login	/cgi-bin/login.pl	1676394365097	1676394365203	OK	 
GROUP	14	login	1676394364881	1676394365203	319	OK
REQUEST	14	buyTicket	/cgi-bin/welcome.pl	1676394365204	1676394365317	OK	 
REQUEST	14	buyTicket	/cgi-bin/nav.pl	1676394365318	1676394365425	OK	 
REQUEST	14	buyTicket	/cgi-bin/reservations.pl	1676394365426	1676394365590	OK	 
REQUEST	14	buyTicket	/cgi-bin/reservations.pl	1676394365591	1676394365729	OK	 
REQUEST	14	buyTicket	/cgi-bin/reservations.pl	1676394365730	1676394365861	OK	 
REQUEST	14	buyTicket	/cgi-bin/reservations.pl	1676394365862	1676394365995	OK	 
GROUP	14	buyTicket	1676394365204	1676394365996	786	OK
REQUEST	14	itinerary	/cgi-bin/welcome.pl	1676394365996	1676394366127	OK	 
REQUEST	14	itinerary	/cgi-bin/nav.pl	1676394366128	1676394366249	OK	 
REQUEST	14	itinerary	/cgi-bin/itinerary.pl	1676394366250	1676394366521	OK	 
GROUP	14	itinerary	1676394365996	1676394366524	523	OK
REQUEST	14	signOff	/cgi-bin/welcome.pl	1676394366524	1676394366602	OK	 
REQUEST	14	signOff	/cgi-bin/nav.pl	1676394366603	1676394366689	OK	 
REQUEST	14	signOff	/WebTours/home.html	1676394366690	1676394366738	OK	 
GROUP	14	signOff	1676394366524	1676394366738	212	OK
USER	mainScenario	14	END	1676394364682	1676394366738
USER	mainScenario	15	START	1676394368668	1676394368668
REQUEST	15	open	/webtours/	1676394368668	1676394368723	OK	 
REQUEST	15	open	/cgi-bin/welcome.pl	1676394368724	1676394368813	OK	 
REQUEST	15	open	/cgi-bin/nav.pl	1676394368814	1676394369228	OK	 
GROUP	15	open	1676394368668	1676394369228	558	OK
REQUEST	15	login	/cgi-bin/login.pl	1676394369229	1676394369323	OK	 
REQUEST	15	login	/cgi-bin/nav.pl	1676394369324	1676394369378	OK	 
REQUEST	15	login	/cgi-bin/login.pl	1676394369379	1676394369471	OK	 
